position,f1,f1_with_overlapping,acc,acc_with_overlapping
5600,0.796313541666667,0.8027104166666669,0.8805651041666672,0.8845593750000001
5800,0.7969270833333333,0.8032036458333335,0.8808265624999999,0.8847588541666669
6000,0.7975010416666667,0.8036447916666666,0.8811244791666665,0.884994270833333
6200,0.7982968750000005,0.8042072916666672,0.8815046875000001,0.8852526041666664
6400,0.7987567708333333,0.8044343749999995,0.8816963541666664,0.8853453125000001
6600,0.7991000000000005,0.8046140624999998,0.8818223958333332,0.8854114583333333
6800,0.7996119791666664,0.8050359375000001,0.8820380208333334,0.8856145833333328
7000,0.7999812499999996,0.8052609374999998,0.8822213541666666,0.8857255208333338
7200,0.8006182291666667,0.8057411458333332,0.8825723958333329,0.8859906249999999
7400,0.801208854166667,0.8056406250000006,0.8828567708333338,0.8858786458333335
7600,0.8017072916666673,0.8054760416666666,0.8830552083333334,0.8856677083333332
7800,0.8022083333333333,0.8059270833333337,0.8833041666666669,0.8858833333333335
8000,0.8025317708333337,0.8062718750000002,0.8834671874999995,0.8860723958333331
8200,0.8029765624999997,0.806686458333333,0.8836854166666671,0.8862687500000005
8400,0.8034015625000003,0.807026041666667,0.8838807291666663,0.8864307291666661
8600,0.8037427083333335,0.8072270833333334,0.8840541666666666,0.8865541666666664
8800,0.8039557291666667,0.8074156249999995,0.8840921875,0.8865890625000001
9000,0.8041505208333336,0.8076494791666667,0.8841822916666668,0.8867145833333329
9200,0.8045427083333329,0.8080307291666665,0.8844026041666666,0.8869078125
9400,0.8048572916666674,0.8082677083333335,0.8846187499999996,0.8870932291666668
9600,0.8051260416666669,0.8085531250000001,0.8847927083333338,0.8872723958333336
9800,0.8057187500000005,0.8091515624999998,0.8851161458333334,0.8876312499999996
10000,0.8061286458333329,0.80820625,0.8853739583333325,0.8869791666666663
10200,0.8068447916666671,0.8088979166666662,0.8857166666666668,0.8873067708333328
10400,0.8071463541666666,0.8092447916666666,0.8858572916666666,0.88745625
10600,0.8073010416666664,0.8094890625000003,0.8859010416666669,0.8875697916666665
10800,0.8076479166666667,0.8099354166666667,0.8860874999999999,0.8878119791666664
11000,0.8077265625000002,0.8100963541666669,0.886135416666667,0.8879036458333328
11200,0.8079442708333332,0.8103750000000002,0.8862968749999999,0.8880953124999996
11400,0.8083229166666666,0.8107692708333328,0.8864979166666661,0.8882989583333337
11600,0.80865,0.8111671875000006,0.886625520833333,0.8884515625000007
11800,0.8087588541666669,0.8114098958333334,0.8867005208333333,0.8886020833333329
12000,0.8086270833333331,0.8113479166666665,0.8866906249999996,0.8886250000000001
12200,0.8088802083333335,0.8116630208333336,0.8868531249999996,0.8888020833333331
12400,0.8089624999999999,0.8115052083333342,0.8869359375000002,0.8886552083333329
12600,0.8089281249999992,0.8112906250000006,0.8869677083333335,0.8884859374999997
12800,0.8089624999999998,0.8115447916666673,0.8870401041666672,0.8886750000000001
13000,0.8092432291666664,0.8119958333333331,0.8872364583333333,0.8889614583333327
13200,0.8092078124999998,0.8122015625000002,0.8872614583333331,0.8891031249999998
13400,0.8091125000000002,0.8123635416666667,0.8872671874999999,0.8892229166666668
13600,0.8093145833333332,0.8127807291666667,0.8874760416666668,0.8895442708333334
13800,0.8093348958333331,0.8130229166666666,0.8875281249999999,0.889706770833333
14000,0.8091421875000003,0.8130463541666662,0.8874192708333335,0.8897307291666664
14200,0.8089260416666669,0.8129984375,0.887334375,0.8897067708333334
14400,0.8086515624999997,0.8129249999999998,0.8872208333333331,0.8897072916666665
14600,0.8087739583333335,0.8133744791666669,0.8872703124999997,0.8899223958333334
14800,0.8085244791666665,0.8133984375000001,0.8871494791666671,0.8899203125000001
15000,0.8079578124999997,0.8123651041666665,0.8868765624999999,0.889190625
15200,0.8076760416666665,0.8124312499999996,0.8867953125,0.8892734375
15400,0.8074041666666666,0.8126057291666665,0.8867229166666668,0.8894500000000001
15600,0.8071046874999998,0.8127578125,0.8867067708333333,0.8896531250000002
15800,0.8064208333333336,0.8125723958333336,0.8864083333333334,0.8896124999999994
16000,0.8055312499999996,0.8124083333333334,0.8859958333333334,0.8895802083333328
16200,0.8051187499999997,0.8124734375000003,0.8857880208333327,0.8896229166666666
16400,0.8045015625000005,0.8125598958333337,0.8854890624999997,0.8896911458333335
16600,0.8037145833333333,0.8125135416666667,0.8851755208333341,0.8897718750000001
16800,0.8026989583333326,0.8121973958333327,0.8847619791666665,0.8896880208333329
17000,0.8018864583333335,0.8121140625000001,0.8844072916666669,0.8897062500000006
17200,0.8007489583333333,0.8119380208333339,0.8838578124999995,0.8896515625000001
17400,0.7993916666666663,0.8112958333333334,0.8832453125000005,0.8892937500000007
17600,0.7983416666666665,0.8108947916666667,0.8827249999999999,0.8890369791666667
17800,0.7968135416666674,0.8105682291666666,0.8820484375000003,0.8889822916666663
18000,0.7949010416666668,0.8102302083333335,0.8811515624999999,0.8889182291666665
18200,0.7930489583333333,0.8100406250000001,0.8802427083333328,0.8889046875000003
18400,0.7906640624999999,0.8094864583333329,0.8791255208333325,0.8887635416666662
18600,0.7877536458333328,0.8089249999999998,0.8777291666666667,0.8885687500000002
18800,0.7845151041666668,0.8083328124999997,0.8761229166666666,0.8883270833333333
19000,0.7805401041666666,0.8074661458333342,0.8741911458333335,0.8879770833333333
19200,0.7752307291666666,0.8061583333333334,0.8715994791666665,0.8874588541666664
19400,0.7684375000000002,0.8046432291666665,0.8682807291666661,0.8868145833333335
19600,0.7595640624999992,0.8026213541666664,0.8639385416666664,0.8859442708333342
19800,0.7462703125000004,0.7991895833333333,0.8575583333333331,0.88446875
