position,f1,f1_with_overlapping,acc,acc_with_overlapping
9600,0.7898833333333336,0.7901600000000003,0.8717900000000001,0.8719683333333331
9800,0.7901350000000001,0.7904133333333336,0.8717733333333334,0.8719499999999998
10000,0.7898066666666667,0.7907216666666668,0.8720316666666666,0.8725299999999999
10200,0.7896699999999999,0.790828333333333,0.8719883333333333,0.8726733333333334
10400,0.7904666666666667,0.7915633333333332,0.8723616666666665,0.8730183333333338
10600,0.7904250000000002,0.7914066666666667,0.8721183333333332,0.872628333333333
10800,0.790245,0.7912183333333334,0.8719699999999997,0.87248
11000,0.7903316666666669,0.7911033333333334,0.8722599999999999,0.87264
11200,0.7902433333333332,0.7910816666666665,0.8720633333333334,0.8724649999999999
11400,0.7898499999999998,0.7906116666666665,0.8715649999999999,0.8719466666666666
11600,0.7891450000000001,0.7900999999999999,0.8708950000000003,0.8713850000000001
11800,0.7897783333333337,0.7906716666666667,0.870945,0.8714049999999997
12000,0.7892766666666665,0.7902333333333335,0.870653333333333,0.8711566666666666
12200,0.7903683333333331,0.7914333333333338,0.8714566666666668,0.8721650000000002
12400,0.7905300000000002,0.7918450000000004,0.8713,0.8721749999999999
12600,0.7906433333333334,0.7921466666666669,0.8713500000000002,0.8722166666666668
12800,0.7900083333333334,0.7917850000000002,0.8709449999999996,0.8719466666666672
13000,0.7903699999999998,0.7921733333333336,0.8713833333333333,0.8724233333333333
13200,0.7888283333333335,0.790785,0.8708966666666667,0.87198
13400,0.7879083333333331,0.7900000000000003,0.8701149999999997,0.8713
13600,0.7874849999999999,0.7897933333333336,0.8700166666666668,0.8713650000000002
13800,0.78778,0.7903366666666666,0.8700516666666664,0.8715016666666668
14000,0.7873100000000001,0.790155,0.869891666666667,0.8714633333333333
14200,0.7868633333333336,0.7897966666666669,0.8697066666666667,0.8713366666666665
14400,0.7860833333333335,0.7892466666666669,0.8692016666666667,0.87099
14600,0.7864516666666665,0.7894433333333332,0.8691283333333334,0.8708783333333335
14800,0.7864500000000003,0.789745,0.8692999999999997,0.8712816666666663
15000,0.7863283333333334,0.7900833333333334,0.869195,0.871648333333333
15200,0.7865999999999999,0.7904566666666668,0.8693449999999996,0.8717666666666669
15400,0.7860616666666667,0.7901000000000002,0.8690683333333332,0.8714583333333336
15600,0.785873333333333,0.7902650000000001,0.8689199999999998,0.871625
15800,0.7864850000000001,0.7911350000000004,0.8694433333333335,0.8723816666666665
16000,0.7857333333333334,0.7910433333333333,0.8690816666666668,0.872295
16200,0.784466666666667,0.7898583333333334,0.8683383333333334,0.8716466666666666
16400,0.783745,0.7892583333333334,0.8680100000000002,0.87138
16600,0.7828883333333331,0.7887849999999996,0.8680350000000003,0.8714633333333333
16800,0.7824116666666666,0.7891766666666663,0.8678383333333332,0.8718183333333334
17000,0.7815133333333332,0.7889700000000002,0.8673366666666666,0.8716533333333333
17200,0.7809100000000003,0.7889216666666666,0.8672183333333333,0.871838333333333
17400,0.7801133333333331,0.7889499999999999,0.8669316666666664,0.8721183333333334
17600,0.7789616666666668,0.7891199999999998,0.8660699999999999,0.8720616666666666
17800,0.7773833333333335,0.7885766666666663,0.8650400000000001,0.87163
18000,0.7765016666666665,0.7890283333333336,0.8645200000000004,0.8717466666666667
18200,0.7741899999999998,0.7882983333333334,0.8633200000000004,0.8714866666666669
18400,0.7718683333333334,0.7879916666666669,0.8618516666666666,0.87135
18600,0.7701916666666666,0.7882333333333336,0.860848333333333,0.8713799999999999
18800,0.7668950000000001,0.7882616666666665,0.8590883333333331,0.8712533333333332
19000,0.7629999999999999,0.787358333333333,0.8572416666666666,0.8710266666666665
19200,0.7574666666666664,0.7866299999999998,0.8543066666666663,0.87083
19400,0.7509149999999999,0.7869133333333334,0.8508249999999999,0.8708400000000001
19600,0.7399283333333333,0.7866299999999998,0.8453216666666666,0.8708033333333335
19800,0.7102866666666667,0.7853933333333333,0.830915,0.8701466666666667
